function,start_label,method,base_fun,best_fun,base_iterations,best_iterations,base_f_calls,best_f_calls,base_distance,best_distance,best_params_json,optuna_best_score,n_trials
Rosenbrock,A,Nelder-Mead,4.860927570029672e-20,1.9490723083053914e-10,141,103,266,194,4.672677831692626e-10,3.005289387487217e-05,"{""maxiter"": 613, ""xatol"": 6.598711072054079e-05, ""fatol"": 9.877700294007923e-06, ""adaptive"": true}",0.012540529133655953,25
Rosenbrock,A,CG,5.882480026320153e-18,5.414252554156267e-12,35,31,88,74,5.4274289123030905e-09,5.20695486727305e-06,"{""gtol"": 9.877700294007923e-06, ""maxiter"": 715, ""norm"": 2, ""eps"": 1.4077923139972402e-07}",0.0038920695540869835,25
Rosenbrock,A,Gradient Descent,0.933413183913075,0.24776331954270608,2889,882,3261,1306,1.3899760968485404,1.3398993737022136,"{""lr0"": 0.04121635851952499, ""gamma"": 0.9841320617554719, ""max_iter"": 3840, ""armijo_c"": 0.0010318414489545115, ""backtracking_beta"": 0.3925290913494893}",15.087916430267054,25
Himmelblau,B,Nelder-Mead,5.810346582147248e-18,1.320384425733723e-08,75,39,142,73,5.258739907463363e-07,1.9706016812832855e-05,"{""maxiter"": 3142, ""xatol"": 9.83081977455648e-05, ""fatol"": 1.0982920745195782e-06, ""adaptive"": true}",0.004827073371972586,25
Himmelblau,B,CG,1.9069690019984794e-23,1.1774171120048092e-14,8,7,19,17,5.254939964785689e-07,5.130094578901141e-07,"{""gtol"": 9.877700294007923e-06, ""maxiter"": 715, ""norm"": 2, ""eps"": 1.4077923139972402e-07}",0.0008751300945906754,25
Himmelblau,B,Gradient Descent,1.8484355540050925e-14,5.0559855058216163e-17,50,14,52,16,5.319993344815195e-07,5.251872957317162e-07,"{""lr0"": 0.013504606605556656, ""gamma"": 0.9892357844404375, ""max_iter"": 2305, ""armijo_c"": 0.002443343311783766, ""backtracking_beta"": 0.41386040540666713}",0.0015652518729573678,25
Beale,B,Nelder-Mead,0.4520138285319435,0.45286207709092985,3000,504,5508,938,311442.16647416697,1794.6536618052967,"{""maxiter"": 504, ""xatol"": 6.226329931199844e-06, ""fatol"": 8.03336443194034e-10, ""adaptive"": true}",19841.702921935354,25
Beale,B,CG,0.45596947526755616,0.4752655714869603,114,48,385,130,387.92162544943193,68.24327300400311,"{""gtol"": 5.257712594093884e-05, ""maxiter"": 1741, ""norm"": -Infinity, ""eps"": 3.145951225239727e-09}",751.1573686155212,25
Beale,B,Gradient Descent,0.02623097031943592,0.01169301312940442,2416,706,2420,712,0.3463454725173219,0.2445697961964778,"{""lr0"": 0.0498022822576155, ""gamma"": 0.981442414640952, ""max_iter"": 3503, ""armijo_c"": 0.0005635289157535316, ""backtracking_beta"": 0.46625207394227947}",2.5351109750941827,25
